months,econet,netone,telecel
Jan 15,0.558139092,0.267384565,0.174476343
Apr 15,0.555094227,0.282884194,0.162021578
Jul 15,0.538937436,0.30667061,0.154391953
Oct 15,0.525395907,0.324103403,0.150500689
Jan 16,0.520530926,0.338003064,0.14146601
Apr 16,0.516093885,0.346814468,0.137091646
Sep 16,0.493967575,0.363845916,0.142186509
Oct 16,0.49390019,0.365900852,0.140198958
Jan 17,0.492415573,0.370011979,0.137572449
Apr 17,0.531403118,0.351764719,0.116832164
Sep 17,0.517199497,0.352827623,0.12997288
Oct 17,0.531403118,0.351764719,0.116832164
Jan 18,0.65237041,0.224593251,0.123036339
Apr 18,0.65819182,0.238670226,0.103137954
Sep 18,0.658641755,0.242935609,0.098422636
Oct 18,0.662506337,0.252273144,0.085220519
Jan 19,0.697221672,0.213725627,0.089052702
Apr 19,0.694041879,0.222793251,0.08316487
Sep 19,0.681470544,0.236737291,0.081792165
Oct 19,0.690958905,0.240028988,0.069012107
Jan 20,0.697714354,0.242139435,0.060146211
Apr 20,0.68501046,0.258329115,0.056660425
Sep 20,0.672968452,0.270285913,0.056745635
Oct 20,0.665061719,0.279820778,0.055117503
Jan 21,0.668287124,0.286911299,0.044801576
Apr 21,0.658101564,0.298705703,0.043192733
Sep 21,0.651100416,0.30709404,0.041805544
Oct 21,0.649019435,0.313558743,0.037421822
Jan 22,0.655009401,0.309508621,0.035481978
Apr 22,0.651561463,0.314952755,0.033485782
Sep 22,0.669788347,0.297971494,0.032240159
Oct 22,0.698430297,0.274301909,0.027267794
Jan 23,0.711413881,0.266680952,0.021905167
Apr 23,0.723299912,0.254664019,0.02203607
Sep 23,0.697552191,0.281942731,0.020505078
Oct 23,0.697263343,0.283948394,0.018788263